date,timestamp,mobile,readyToCallSec,callToDisposeSec,agent_name
2025-10-22,7:54:52 AM,9137272180,1.469,10.383,Samad1
2025-10-22,7:55:11 AM,9167603956,4.694,10.355,Samad1
2025-10-22,7:55:36 AM,8840805125,11.132,10.339,Samad1
2025-10-22,8:02:03 AM,9167603956,0.892,10.388,Samad1
2025-10-22,8:02:23 AM,9137272180,5.437,10.388,Samad1
2025-10-22,8:06:10 AM,9137272180,0.283,10.464,Samad1
2025-10-22,8:06:31 AM,8840805125,6.411,10.376,Samad1
2025-10-22,8:06:52 AM,9167603956,7.166,10.359,Samad1
2025-10-22,9:44:27 AM,9167603956,12.434,10.413,Samad1
2025-10-22,9:44:48 AM,9137272180,5.766,10.419,Samad1
2025-10-22,9:45:10 AM,8840805125,8.050,10.356,Samad1
2025-10-22,9:54:39 AM,9167603956,5.657,10.381,Samad1
2025-10-22,9:54:59 AM,9137272180,5.380,10.380,Samad1
